ISO code,Country and areas,Survey year,Year*,United Nations Region,United Nations Sub-Region,SDG Region,UNICEF Region,UNICEF Sub-Region,WHO Region,World Bank Income Classification,World Bank Region,LDC,LIFD,LLDC or SIDS,UNICEF Survey ID,WHO Global Database Number,Type of Estimate,WHZ Survey Sample (N),Severe Wasting,Severe Wasting Footnote,Wasting,Wasting Footnote,Overweight,Overweight Footnote,HAZ Survey Sample (N),Stunting,Stunting Footnote,WAZ Survey Sample (N),Underweight,Underweight Footnote,Fieldwork period,Report Author,Source,Short Source,U5 Population ('000s)
ARG,ARGENTINA,1994,1994,Latin America and the Caribbean,South America,Latin America and the Caribbean,LAC,LAC,AMRO,Upper Middle Income,Latin America & Caribbean,,,,17,01469,Adjusted,5296.0,,,1.6,c,11.1,c,5296.0,7.1,c,5296.0,1.7,c,,"Lejarraga H, Krupitzky S, Gimenez E, Diament N, Kelmansky A, Tibaldi F, et al.",The organisation of a national survey for evaluating child psychomotor development in Argentina. Paediatric and Perinatal Epidemiology 1997;11:359-373,Other,3532.821045
ARG,ARGENTINA,1995-96,1996,Latin America and the Caribbean,South America,Latin America and the Caribbean,LAC,LAC,AMRO,Upper Middle Income,Latin America & Caribbean,,,,18,02103,Adjusted,91943.0,,,4.2,c,13.5,c,91943.0,16.9,c,91943.0,4.7,c,"May,1995-December,1996","Calvo EB, Longo EN et al.","Encuesta antropometrica en menores de 6 años bajo programa materno infantil. In: Estudios antropometricos en la poblacion infanto-juvenil. Rep. Argentina 1993-1996. Ministerio de Salud y Accion Social. Buenos Aires, 1999",Other,3569.924805
ARG,ARGENTINA,2004-05,2005,Latin America and the Caribbean,South America,Latin America and the Caribbean,LAC,LAC,AMRO,Upper Middle Income,Latin America & Caribbean,,,,19,02769,Reanalyzed,2528042.3,0.4,b,1.7,b,9.0,w 21,2544637.5,7.2,pw 21,,2.5,b,"October,2004-July,2005","Ministry of Health and Environment (Argentina), United Nations Development Programme (UNDP)","Encuesta Nacional de Nutricion y Salud, Argentina 2004-2005",Other,3489.768066
ARG,ARGENTINA,2018-19,2018,Latin America and the Caribbean,South America,Latin America and the Caribbean,LAC,LAC,AMRO,Upper Middle Income,Latin America & Caribbean,,,,3833,03377,Reanalyzed,2912822.0,0.5,r,1.7,r,12.4,r,2949334.0,8.7,r,2986871.0,2.0,,"September,2018-April,2019","Ministry of Health and Environment (Argentina),","Segunda Encuesta Nacional de Nutricion y Salud, Argentina 2018-2019",Other,3617.962891
ARM,ARMENIA,1998,1998,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),20,01865,Reanalyzed,17836.9,1.0,,3.3,,10.8,,17859.8,15.1,,18037.0,2.7,,"May,1998-June,1998","Branca F, Napoletano A, Coclite D, Rossi L.","Armenia Health and Nutritional Status of Children and Women 1998. Rome, Italy: National Institute for Research on Food and Nutrition (INRAN) (Italy), 1998.",Other,252.9250031
ARM,ARMENIA,2000,2000,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),21,02344,Reanalyzed,1468.2,0.7,,2.5,,15.7,,1480.9,17.3,,1486.3,2.6,,"October,2000-December,2000","National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2000. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2001",DHS,220.1900024
ARM,ARMENIA,2005,2005,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),22,02785,Reanalyzed,1299.4,2.6,,5.4,,11.4,,1346.3,17.9,,1376.9,4.2,,"September,2005-December,2005","National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006",DHS,187.4089966
ARM,ARMENIA,2010,2010,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),23,03117,Reanalyzed,1367.1,2.0,,4.1,,16.5,,1373.7,20.9,,1410.7,5.3,,"October,2010-December,2010","National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF International.","Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012",DHS,190.076004
ARM,ARMENIA,2015-16,2016,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),792,03294,Reanalyzed,1560.5,1.7,,4.4,,13.7,,1572.8,9.4,,1608.8,2.6,,"December,2015-April,2016","National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF","Armenia Demographic and Health Survey 2015-16. Rockville, Maryland, USA: National Statistical Service, Ministry of Health, and ICF",DHS,213.1279907
AUS,AUSTRALIA,1995-96,1995,Oceania,Australia and New Zealand,Australia and New Zealand,EAP,EAP,WPRO,High Income,East Asia & Pacific,,,,24,01832,Adjusted,1036810.0,,,0.0,bc,7.9,bc,1036810.0,0.0,bc,1036810.0,0.0,bc,"February,1995-March,1996",Australian Bureau of Statistics and Commonwealth Department of Health and Family Services,"National nutrition survey Australia 1995. Canberra: Australian Bureau of Statistics and Commonwealth Department of Health and Family Services, 1997",NNS,1294.984985
AUS,AUSTRALIA,2007,2007,Oceania,Australia and New Zealand,Australia and New Zealand,EAP,EAP,WPRO,High Income,East Asia & Pacific,,,,25,02646,Reanalyzed,975.4,0.0,b,0.2,b,8.0,w 12,980.6,1.9,pw 12,,0.5,b,"February,2007-August,2007",Commonwealth Department of Health and Ageing (DoHA).,"The 2007 national children's nutrition and physical activity survey. Canberra, Australia: DoHA, 2010 ",Other,1337.272949
AUS,AUSTRALIA,2014-15,2014,Oceania,Australia and New Zealand,Australia and New Zealand,EAP,EAP,WPRO,High Income,East Asia & Pacific,,,,897,03378,Adjusted,,,,,,17.9,b,,,,,,,"July,2014-June,2015",Australian Bureau of Statistics,Australia National Health Survey 2014-15,Other,1539.97998
AUS,AUSTRALIA,2017-18,2017,Oceania,Australia and New Zealand,Australia and New Zealand,EAP,EAP,WPRO,High Income,East Asia & Pacific,,,,3737,03379,Adjusted,,,,,,22.0,b,,,,,,,"July,2017-June,2018",Australian Bureau of Statistics,Australia National Health Survey 2017-18,Other,1575.907959
AZE,AZERBAIJAN,1996,1996,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),26,01628,Adjusted,500.0,,,3.8,c,6.1,c,500.0,28.0,c,500.0,8.8,c,"April,1996-April,1996","Branca F, Burkholder B, Hamel M, Parvanta I, Robertson A.","Health and nutrition survey of internally displaced and resident population of Azerbaijan - April 1996. Baku, Azerbaijan, 1996",Other,868.9019775
AZE,AZERBAIJAN,2000,2000,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),27,02244,Reanalyzed,1737.0,4.1,,9.0,,6.2,,1751.0,24.2,,1787.0,14.0,,"August,2000-August,2000",State Statistical Committee of the Azerbaijan Republic,"Azerbaijan multiple indicator cluster survey 2000 (MICS). Baku, Azerbaijan: United Nations Children's Fund, 2001.",MICS,717.4860229
AZE,AZERBAIJAN,2001,2001,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),28,02569,Adjusted,2426.0,,,3.2,c,4.4,c,2426.0,18.0,c,2426.0,5.9,c,"April,2001-July,2001","Adventist Development and Relief Agency, Azerbaijan Ministry of Health, State Committee of Statistics, Mercy Corps [Baku, Azerbaijan], DRH/CDC, USAID, UNFPA, UNHCR. ","Reproductive health survey Azerbaijan, 2001: Final report. Serbanescu F, Morris L, Rahimova S, Stupp P, eds. Atlanta, GA: US Department of Health and Human Services, CDC, 2003",RHS,690.8560181
AZE,AZERBAIJAN,2006,2006,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),29,02933,Reanalyzed,2021.7,2.2,,6.8,,13.9,,2046.6,26.5,,2124.7,8.4,,"July,2006-November,2006",State Statistical Committee (SSC) [Azerbaijan] and Macro International Inc.,"Azerbaijan Demographic and Health Survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008 ",DHS,689.4840088
AZE,AZERBAIJAN,2011,2011,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),793,03295,Reported,,2.9,,6.6,,10.4,,,16.4,,,6.5,,"August,2011-October,2011","Public Health and Reforms Center (PHRC) [Azerbaijan]; Ministry of Health (MoH) [Azerbaijan], Baku, Azerbaijan","Demographic and Health Survey, Azerbaijan 2011. Ministry of Health (MoH) [Azerbaijan], Baku, Azerbaijan",DHS-Style,852.0689697
AZE,AZERBAIJAN,2013,2013,Asia,Western Asia,Western Asia and Northern Africa,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,Landlocked developing countries (LLDCs),30,03269,Reanalyzed,3525889.8,1.1,r,3.2,r,14.1,r,3560687.3,17.8,r,3613422.5,4.9,,"February,2013-April,2013","Ministry of Health, State Statistical Committee and UNICEF [Azerbaijan].","Azerbaijan nutrition survey  (AzNS), 2013. Baku, Republic of Azerbaijan, 2014.",NNS,900.3380127
BHR,BAHRAIN,1989,1989,Asia,Western Asia,Western Asia and Northern Africa,MENA,MENA,EMRO,High Income,Middle East & North Africa,,,,31,01511,Adjusted,2033.0,,,6.8,c,7.5,c,2033.0,13.9,c,2033.0,6.3,c,"February,1989-March,1989","Ibrahim Yacoub, Samir M. Farid, Gulf Child Health Survey, UNICEF., World Health Organization, United Nations Population Fund","Bahrain child health survey 1989. Manama, Bahrain, 1992.",Other,68.45400238
BHR,BAHRAIN,1995,1995,Asia,Western Asia,Western Asia and Northern Africa,MENA,MENA,EMRO,High Income,Middle East & North Africa,,,,32,02296,Adjusted,673.0,,,6.6,c 31,,,673.0,13.6,c 31,673.0,7.6,c 31,"October,1995-December,1995","Ibrahim Yacoub, Samir M. Farid, Gulf Child Health Survey, UNICEF., World Health Organization, United Nations Population Fund","Bahrain family health survey 1995: principal report. Manama, Bahrain: Ministry of Health, 2000.",GFHS,70.64900208
BGD,BANGLADESH,1985-86,1986,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,33,00369,Adjusted,2675.0,,,17.3,c,0.2,c,2675.0,70.9,c,2675.0,66.8,c,"September,1985-July,1986","Bangladesh bureau of statistics, Government of the People's Republic of Bangladesh.","Bangladesh household expenditure survey 1985-86. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1987",Other,16632.66797
BGD,BANGLADESH,1989-90,1990,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,34,00370,Adjusted,1914.0,,,17.5,c,0.6,c,1914.0,63.4,c,1914.0,61.5,c,"January,1989-December,1990",Government of the People's Republic of Bangladesh.,"Report of the child nutrition status survey 1989-90. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1991",NNS,16691.28516
BGD,BANGLADESH,1991,1991,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,35,02828,Adjusted,32493.0,2.6,d 44,15.2,d 44,0.3,d 44,32493.0,73.6,d 44,32493.0,61.2,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1991: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008",Surveillance,16591.96289
BGD,BANGLADESH,1992,1992,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,36,02831,Adjusted,36997.0,3.0,d 44,16.1,d 44,0.2,d 44,36997.0,71.5,d 44,36997.0,60.6,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1992: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16454.51367
BGD,BANGLADESH,1993,1993,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,37,02832,Adjusted,42826.0,2.5,d 44,14.0,d 44,0.4,d 44,42826.0,69.2,d 44,42826.0,56.1,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1993: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16342.4375
BGD,BANGLADESH,1994,1994,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,38,02835,Adjusted,63753.0,3.2,d 44,16.7,d 44,0.2,d 44,63753.0,67.3,d 44,63753.0,58.0,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1994: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16266.96289
BGD,BANGLADESH,1995,1995,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,39,02836,Adjusted,87051.0,2.7,d 44,15.1,d 44,0.2,d 44,87051.0,65.8,d 44,87051.0,55.2,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1995: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16222.01855
BGD,BANGLADESH,1996,1996,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,40,02839,Adjusted,81067.0,2.8,d 44,15.5,d 44,0.3,d 44,81067.0,63.8,d 44,81067.0,54.0,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1996: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16223.1875
BGD,BANGLADESH,1996-97,1997,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,41,01759,Reanalyzed,4879.8,6.8,,20.7,,2.4,,4936.7,59.6,,5204.1,53.6,,"November,1996-March,1997","Mitra, S.N., Ahmed A1-Sabir, Anne R. Cross, and Kanta Jamil","Bangladesh demographic and health survey 1996-97. Demographic and Health Surveys. National Institute for Population Research and Training. Dhaka, Bangladesh, 1997",DHS,16328.55371
BGD,BANGLADESH,1998,1998,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,42,01935,Adjusted,49496.0,2.3,d 44,15.0,d 44,0.2,d 44,49496.0,59.3,d 44,49496.0,50.7,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1998: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16514.28516
BGD,BANGLADESH,1999,1999,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,43,02104,Adjusted,49374.0,2.0,d 44,13.7,d 44,0.6,d 44,49374.0,59.9,d 44,49374.0,49.5,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1999: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16700.99805
BGD,BANGLADESH,1999-00,2000,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,44,02280,Reanalyzed,5490.1,2.5,,12.5,,0.9,,5514.6,51.1,,6007.1,42.4,,"November,1999-April,2000","National Institute of Population Research and Training, Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 1999-2000 (DHS). Dhaka, Bangladesh and Calverton, Maryland: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro, 2001",DHS,16896.30469
BGD,BANGLADESH,2001,2001,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,45,02413,Adjusted,63444.0,2.3,d 44,12.7,d 44,0.9,d 44,63444.0,53.2,d 44,63444.0,43.2,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2001: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,17112.06055
BGD,BANGLADESH,2002,2002,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,SEARO,Lower Middle Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),,46,02640,Adjusted,53315.0,2.1,d 44,12.4,d 44,1.0,d 44,53315.0,51.4,d 44,53315.0,41.0,d 44,,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2002: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,17278.76367
